2025-28-3--00-22-49, 318.60, 816.29, 668.19, 532.80, 420.78, 318.60, 
2025-28-3--00-22-49, 769.41, 806.91, 708.67, 674.77, 699.68, 769.41, 
2025-28-3--00-22-49, 1109.14, 867.36, 868.86, 935.39, 1027.25, 1109.14, 
2025-28-3--00-22-49, 1182.59, 930.40, 994.35, 1083.71, 1151.52, 1182.59, 
2025-28-3--00-22-49, 1110.49, 966.42, 1040.81, 1099.78, 1118.70, 1110.49, 
2025-28-3--00-22-49, 869.12, 946.96, 972.13, 961.38, 919.03, 869.12, 
2025-28-3--00-22-49, 811.62, 919.89, 907.93, 871.53, 833.10, 811.62, 
2025-28-3--00-22-49, 728.49, 881.61, 836.15, 785.70, 749.41, 728.49, 
2025-28-3--00-22-49, 768.23, 858.93, 808.98, 775.22, 764.46, 768.23, 
2025-28-3--00-22-49, 1165.37, 920.22, 951.54, 1009.31, 1085.19, 1165.37, 
2025-28-3--00-22-50, 466.40, 829.46, 757.48, 683.56, 590.15, 466.40, 
2025-28-3--00-22-50, 1059.77, 875.52, 878.40, 909.29, 965.85, 1059.77, 
2025-28-3--00-22-50, 830.63, 866.54, 859.29, 862.09, 857.67, 830.63, 
2025-28-3--00-22-50, 542.09, 801.65, 732.41, 670.09, 605.21, 542.09, 
2025-28-3--00-22-50, 1165.50, 874.42, 905.65, 967.34, 1053.44, 1165.50, 
2025-28-3--00-22-50, 1173.30, 934.20, 1012.71, 1090.92, 1149.33, 1173.30, 
2025-28-3--00-22-50, 764.88, 900.33, 913.58, 895.29, 841.77, 764.88, 
2025-28-3--00-22-50, 795.42, 879.35, 866.31, 835.37, 804.69, 795.42, 
2025-28-3--00-22-50, 1179.11, 939.30, 991.43, 1041.61, 1104.22, 1179.11, 
2025-28-3--00-22-50, 1075.62, 966.56, 1025.11, 1062.02, 1081.34, 1075.62, 
2025-28-3--00-22-51, 999.40, 973.13, 1014.82, 1024.45, 1015.79, 999.40, 
2025-28-3--00-22-51, 820.88, 942.68, 937.25, 902.31, 859.86, 820.88, 
2025-28-3--00-22-51, 732.71, 900.69, 855.43, 800.55, 758.14, 732.71, 
2025-28-3--00-22-51, 775.98, 875.74, 823.65, 785.80, 772.41, 775.98, 
2025-28-3--00-22-51, 1124.61, 925.52, 944.03, 989.09, 1054.17, 1124.61, 
2025-28-3--00-22-51, 1135.08, 967.43, 1020.45, 1076.68, 1118.90, 1135.08, 
2025-28-3--00-22-51, 1063.49, 986.64, 1037.67, 1068.77, 1074.57, 1063.49, 
2025-28-3--00-22-51, 1149.43, 1019.20, 1082.37, 1117.17, 1134.46, 1149.43, 
2025-28-3--00-22-51, 1146.53, 1044.66, 1108.03, 1134.78, 1144.11, 1146.53, 
2025-28-3--00-22-51, 813.47, 998.43, 990.21, 942.00, 879.60, 813.47, 
2025-28-3--00-22-52, 782.17, 955.17, 906.99, 846.10, 801.65, 782.17, 
2025-28-3--00-22-52, 763.59, 916.86, 849.63, 796.59, 771.20, 763.59, 
2025-28-3--00-22-52, 832.92, 900.07, 842.95, 818.39, 820.57, 832.92, 
2025-28-3--00-22-52, 823.18, 884.69, 835.04, 821.26, 822.66, 823.18, 
2025-28-3--00-22-52, 709.47, 849.65, 784.81, 754.19, 732.11, 709.47, 
2025-28-3--00-22-52, 1113.22, 902.36, 916.17, 969.60, 1036.99, 1113.22, 
2025-28-3--00-22-52, 1092.18, 940.32, 986.57, 1043.15, 1081.14, 1092.18, 
2025-28-3--00-22-52, 1120.69, 976.40, 1040.22, 1089.68, 1112.78, 1120.69, 
2025-28-3--00-22-52, 1074.46, 996.01, 1053.92, 1080.54, 1082.12, 1074.46, 
2025-28-3--00-22-52, 792.96, 955.40, 949.53, 907.99, 850.79, 792.96, 
2025-28-3--00-22-53, 1123.98, 989.12, 1019.31, 1037.58, 1069.34, 1123.98, 
2025-28-3--00-22-53, 1103.75, 1012.04, 1053.09, 1077.28, 1096.87, 1103.75, 
2025-28-3--00-22-53, 818.13, 973.26, 959.10, 921.79, 873.88, 818.13, 
2025-28-3--00-22-53, 809.91, 940.59, 899.43, 854.66, 822.71, 809.91, 
2025-28-3--00-22-53, 1098.77, 972.23, 979.17, 1001.13, 1043.56, 1098.77, 
